Display,Segment,Expression
D8,a,P̅R̅B̅AC̅ + P̅R̅BAC̅ + P̅RB̅AC̅ + P̅RBAC̅ + PR̅B̅AC̅ + PR̅BAC̅ + PRB̅AC̅ + PRBAC̅
D8,b,P̅R̅B̅A̅C + P̅R̅BA̅C + P̅RB̅A̅C + P̅RBA̅C + PR̅B̅A̅C + PR̅BA̅C + PRB̅A̅C + PRBA̅C + P̅R̅B̅AC + P̅R̅BAC + P̅RB̅AC + P̅RBAC + PR̅B̅AC + PR̅BAC + PRB̅AC + PRBAC
D8,c,P̅R̅B̅A̅C + P̅R̅BA̅C + P̅RB̅A̅C + P̅RBA̅C + PR̅B̅A̅C + PR̅BA̅C + PRB̅A̅C + PRBA̅C + P̅R̅B̅AC + P̅R̅BAC + P̅RB̅AC + P̅RBAC + PR̅B̅AC + PR̅BAC + PRB̅AC + PRBAC
D8,d,P̅R̅B̅A̅C + P̅R̅BA̅C + P̅RB̅A̅C + P̅RBA̅C + PR̅B̅A̅C + PR̅BA̅C + PRB̅A̅C + PRBA̅C + P̅R̅B̅AC̅ + P̅R̅BAC̅ + P̅RB̅AC̅ + P̅RBAC̅ + PR̅B̅AC̅ + PR̅BAC̅ + PRB̅AC̅ + PRBAC̅ + P̅R̅B̅AC + P̅R̅BAC + P̅RB̅AC + P̅RBAC + PR̅B̅AC + PR̅BAC + PRB̅AC + PRBAC
D8,e,P̅R̅B̅A̅C + P̅R̅BA̅C + P̅RB̅A̅C + P̅RBA̅C + PR̅B̅A̅C + PR̅BA̅C + PRB̅A̅C + PRBA̅C + P̅R̅B̅AC̅ + P̅R̅BAC̅ + P̅RB̅AC̅ + P̅RBAC̅ + PR̅B̅AC̅ + PR̅BAC̅ + PRB̅AC̅ + PRBAC̅ + P̅R̅B̅AC + P̅R̅BAC + P̅RB̅AC + P̅RBAC + PR̅B̅AC + PR̅BAC + PRB̅AC + PRBAC
D8,f,P̅R̅B̅AC̅ + P̅R̅BAC̅ + P̅RB̅AC̅ + P̅RBAC̅ + PR̅B̅AC̅ + PR̅BAC̅ + PRB̅AC̅ + PRBAC̅
D8,g1,P̅R̅B̅AC̅ + P̅R̅BAC̅ + P̅RB̅AC̅ + P̅RBAC̅ + PR̅B̅AC̅ + PR̅BAC̅ + PRB̅AC̅ + PRBAC̅
D8,g2,P̅R̅B̅A̅C + P̅R̅BA̅C + P̅RB̅A̅C + P̅RBA̅C + PR̅B̅A̅C + PR̅BA̅C + PRB̅A̅C + PRBA̅C + P̅R̅B̅AC̅ + P̅R̅BAC̅ + P̅RB̅AC̅ + P̅RBAC̅ + PR̅B̅AC̅ + PR̅BAC̅ + PRB̅AC̅ + PRBAC̅ + P̅R̅B̅AC + P̅R̅BAC + P̅RB̅AC + P̅RBAC + PR̅B̅AC + PR̅BAC + PRB̅AC + PRBAC
D8,h,0
D8,i,0
D8,j,0
D8,k,0
D8,l,0
D8,m,0
D9,a,0
D9,b,0
D9,c,P̅R̅B̅A̅C + P̅R̅BA̅C + P̅RB̅A̅C + P̅RBA̅C + PR̅B̅A̅C + PR̅BA̅C + PRB̅A̅C + PRBA̅C + P̅R̅B̅AC + P̅R̅BAC + P̅RB̅AC + P̅RBAC + PR̅B̅AC + PR̅BAC + PRB̅AC + PRBAC
D9,d,P̅R̅B̅A̅C + P̅R̅BA̅C + P̅RB̅A̅C + P̅RBA̅C + PR̅B̅A̅C + PR̅BA̅C + PRB̅A̅C + PRBA̅C + P̅R̅B̅AC + P̅R̅BAC + P̅RB̅AC + P̅RBAC + PR̅B̅AC + PR̅BAC + PRB̅AC + PRBAC
D9,e,P̅R̅B̅A̅C + P̅R̅BA̅C + P̅RB̅A̅C + P̅RBA̅C + PR̅B̅A̅C + PR̅BA̅C + PRB̅A̅C + PRBA̅C + P̅R̅B̅AC + P̅R̅BAC + P̅RB̅AC + P̅RBAC + PR̅B̅AC + PR̅BAC + PRB̅AC + PRBAC
D9,f,0
D9,g1,P̅R̅B̅A̅C + P̅R̅BA̅C + P̅RB̅A̅C + P̅RBA̅C + PR̅B̅A̅C + PR̅BA̅C + PRB̅A̅C + PRBA̅C + P̅R̅B̅AC + P̅R̅BAC + P̅RB̅AC + P̅RBAC + PR̅B̅AC + PR̅BAC + PRB̅AC + PRBAC
D9,g2,P̅R̅B̅A̅C + P̅R̅BA̅C + P̅RB̅A̅C + P̅RBA̅C + PR̅B̅A̅C + PR̅BA̅C + PRB̅A̅C + PRBA̅C + P̅R̅B̅AC + P̅R̅BAC + P̅RB̅AC + P̅RBAC + PR̅B̅AC + PR̅BAC + PRB̅AC + PRBAC
D9,h,0
D9,i,0
D9,j,0
D9,k,0
D9,l,0
D9,m,0
